,smiles,chembl_id,pIC50
194,COC(=O)c1n[nH]cc1NC(=O)Cc1cccc2ccccc12,CHEMBL1287886,4.301029995663981
195,COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(C(F)(F)F)n2)cc1,CHEMBL1288038,4.301029995663981
196,COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(N)n2)cc1,CHEMBL1288039,4.301029995663981
197,COc1ccc(CC(=O)Nc2ccsc2-c2cn(C)cn2)cc1,CHEMBL1288067,4.301029995663981
198,COc1ccc(CC(=O)Nc2ccsc2-c2c[nH]c(C)n2)cc1,CHEMBL1288069,4.301029995663981
199,COc1ccc(CC(=O)Nc2ccsc2-c2cnccn2)cc1,CHEMBL1288098,4.301029995663981
200,O=C(Cc1cccc2cnccc12)Nc1ccsc1-c1cscn1,CHEMBL1288100,4.301029995663981
201,COC(=O)c1ncsc1NC(=O)Cc1cccc2cnccc12,CHEMBL1288127,4.301029995663981
202,Cn1ncnc1-c1ncsc1NC(=O)Cc1cccc2cnccc12,CHEMBL1288129,4.301029995663981
203,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cnccn1,CHEMBL1288159,4.301029995663981
204,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cscn1,CHEMBL1288160,4.301029995663981
205,O=C(Cc1cccc2ncccc12)Nc1ccsc1-c1nnc[nH]1,CHEMBL1288099,4.301029995663981
206,O=c1[nH]nc(-c2ccnc(Nc3cccnc3)c2)n1-c1ccc2ccccc2c1,CHEMBL1644626,4.853871964321762
207,O=c1[nH]nc(-c2ccnc(NC3CCCOC3)c2)n1-c1ccc2ccccc2c1,CHEMBL1644619,4.657577319177793
208,C[C@H](Nc1cc(-c2n[nH]c(=O)n2-c2ccc3ccccc3c2)ccn1)c1ccccc1,CHEMBL1644628,5.301029995663981
209,O=c1n(C2CCNCC2)nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2ccccc2c1,CHEMBL1644643,5.301029995663981
210,COC(=O)N1CCC(n2nc(-c3ccnc(NC4CCOCC4)c3)n(-c3ccc4ccccc4c3)c2=O)CC1,CHEMBL1644646,5.301029995663981
211,O=c1[nH]nc(-c2ccncc2)n1-c1ccc2ccccc2c1,CHEMBL1644617,4.301029995663981
